,r,señal,FFF,Limit,In,Z,Big Z,xpos,xneg,ypos,yneg,Rho,delta0 = 0.001 h0 = 228.57142857142858 h1 = -2714.2857142857138 h2 = 37142.857142857145 h3 = -900000.0 h4 = 800000.0
135,40.0,1.0976,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,-11.132404181184668,-11.132404181184668,0.4,906.5705585640932
136,41.0,1.0864,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,-11.874564459930314,-11.874564459930314,0.41,976.2940083973499
137,42.0,1.0542,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,-12.616724738675957,-12.616724738675957,0.42,1049.50292225451
138,43.0,0.98055,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,-13.358885017421603,-13.358885017421603,0.43,1126.2823114599344
139,44.0,0.8627,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,-14.101045296167248,-14.101045296167248,0.44,1206.7171873365457
140,45.0,0.74667,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,-14.843205574912892,-14.843205574912892,0.45,1290.8925612062305
141,46.0,0.6261,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,-15.585365853658537,-15.585365853658537,0.46,1378.893444390122
142,47.0,0.49873,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,-16.32752613240418,-16.32752613240418,0.47,1470.804848208781
143,48.0,0.37119,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,-17.069686411149824,-17.069686411149824,0.48,1566.7117839823413
144,49.0,0.25356999999999996,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,-17.81184668989547,-17.81184668989547,0.49,1666.699263030608
145,50.0,0.13837,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,-18.554006968641115,-18.554006968641115,0.5,1770.8522966731307
146,51.0,0.06729,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,-19.29616724738676,-19.29616724738676,0.51,1879.255896229257
147,52.0,0.042542,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,-20.038327526132406,-20.038327526132406,0.52,1991.9950730181727
148,53.0,0.035976,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,-20.78048780487805,-20.78048780487805,0.53,2109.154838358945
149,54.0,0.033745,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,-21.522648083623693,-21.522648083623693,0.54,2230.8202035705317
150,55.0,0.032323000000000005,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,-22.264808362369337,-22.264808362369337,0.55,2357.076179971796
151,56.0,0.031063,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,-23.006968641114984,-23.006968641114984,0.56,2488.0077788815515
152,57.0,0.029993000000000002,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,-23.749128919860627,-23.749128919860627,0.57,2623.700011618542
153,58.0,0.028743,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,-24.49128919860627,-24.49128919860627,0.58,2764.2378895014663
154,59.0,0.027683999999999997,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,-25.233449477351915,-25.233449477351915,0.59,2909.7064238489847
155,60.0,0.026637,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,-25.975609756097562,-25.975609756097562,0.6,3060.1906259797165
156,63.0,0.02356,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,-28.202090592334496,-28.202090592334496,0.63,3542.5873522570896
157,66.0,0.020801,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,-30.428571428571427,-30.428571428571427,0.66,4073.1854960516343
158,69.0,0.018466999999999997,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,-32.65505226480836,-32.65505226480836,0.69,4654.280362963063
159,72.0,0.016467,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,-34.8815331010453,-34.8815331010453,0.72,5288.1672585902115
160,75.0,0.014734,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,-37.10801393728223,-37.10801393728223,0.75,5977.141488531372
161,78.0,0.013313,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,-39.33449477351916,-39.33449477351916,0.78,6723.498358384434
162,81.0,0.012195999999999999,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,-41.5609756097561,-41.5609756097561,0.81,7529.533173747027
163,84.0,0.011153,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,-43.78745644599303,-43.78745644599303,0.84,8397.541240216515
164,87.0,0.010251,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,-46.01393728222997,-46.01393728222997,0.87,9329.81786339018
165,90.0,0.0095773,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,-48.2404181184669,-48.2404181184669,0.9,10328.658348865156
166,93.0,0.009053499999999999,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,-50.46689895470383,-50.46689895470383,0.93,11396.35800223852
167,95.0,0.0087542,0,50,0,100,0.05420850000000001,18.936731107205624,18.936731107205624,-51.951219512195124,-51.951219512195124,0.95,12147.546348676387
168,-145.0,0.014669,0,100,0,100,0.05420850000000001,37.87346221441125,37.87346221441125,82.77777777777777,-40.32763532763533,1.45,-5.06396362570598e-06
169,-143.0,0.015447999999999998,0,100,0,100,0.05420850000000001,37.87346221441125,37.87346221441125,81.92877492877493,-39.47863247863248,1.43,-5.102683242074424e-06
170,-140.0,0.016809,0,100,0,100,0.05420850000000001,37.87346221441125,37.87346221441125,80.65527065527066,-38.205128205128204,1.4,-5.1648175205273145e-06
171,-137.0,0.018289,0,100,0,100,0.05420850000000001,37.87346221441125,37.87346221441125,79.38176638176638,-36.93162393162393,1.37,-5.2323307683398945e-06
172,-134.0,0.019988,0,100,0,100,0.05420850000000001,37.87346221441125,37.87346221441125,78.10826210826211,-35.65811965811966,1.34,-5.3059046744642496e-06
173,-131.0,0.021862,0,100,0,100,0.05420850000000001,37.87346221441125,37.87346221441125,76.83475783475784,-34.38461538461539,1.31,-5.38632045607238e-06
174,-128.0,0.024005000000000002,0,100,0,100,0.05420850000000001,37.87346221441125,37.87346221441125,75.56125356125357,-33.111111111111114,1.28,-5.474501375732815e-06
175,-125.0,0.026407,0,100,0,100,0.05420850000000001,37.87346221441125,37.87346221441125,74.28774928774929,-31.837606837606838,1.25,-5.571540059693174e-06
