,r,señal,FFF,Limit,Area,In,Z,Zs,Big Z,Big Z Col,xpos,xneg,ypos,yneg,Rho,Analytic function,Limited
0,-240.0,0.0,0.0,50.0,2500.0,1,100,0.0,0.05420850000000001,0.05420850000000001,200.72934973637962,-184.75560081466395,10.612535612535613,10.612535612535613,2.4,2.3828196389173342e-05,0
1,-239.0,0.0001294705882352941,0.0,50.0,2500.0,1,100,0.0,0.05420850000000001,0.05420850000000001,199.9718804920914,-183.877800407332,10.612535612535613,10.612535612535613,2.39,2.419314645792797e-05,0
2,-238.0,0.0002589411764705882,0.0,50.0,2500.0,1,100,0.0,0.05420850000000001,0.05420850000000001,199.21441124780316,-183.0,10.612535612535613,10.612535612535613,2.38,2.4566603158298865e-05,0
3,-237.0,0.0003884117647058823,0.0,50.0,2500.0,1,100,0.0,0.05420850000000001,0.05420850000000001,198.45694200351494,-182.122199592668,10.612535612535613,10.612535612535613,2.37,2.4948790159336933e-05,0
4,-236.0,0.0005178823529411764,0.0,50.0,2500.0,1,100,0.0,0.05420850000000001,0.05420850000000001,197.69947275922672,-181.24439918533605,10.612535612535613,10.612535612535613,2.36,2.5339936653521548e-05,0
5,-235.0,0.0006473529411764704,0.0,50.0,2500.0,1,100,0.0,0.05420850000000001,0.05420850000000001,196.94200351493848,-180.36659877800406,10.612535612535613,10.612535612535613,2.35,2.574027753433699e-05,0
6,-234.0,0.0007768235294117646,0.0,50.0,2500.0,1,100,0.0,0.05420850000000001,0.05420850000000001,196.18453427065026,-179.4887983706721,10.612535612535613,10.612535612535613,2.34,2.6150053588025726e-05,0
7,-233.0,0.0009062941176470587,0.0,50.0,2500.0,1,100,0.0,0.05420850000000001,0.05420850000000001,195.42706502636204,-178.6109979633401,10.612535612535613,10.612535612535613,2.33,2.656951168857097e-05,0
8,-232.0,0.0010357647058823528,0.0,50.0,2500.0,1,100,0.0,0.05420850000000001,0.05420850000000001,194.66959578207383,-177.73319755600815,10.612535612535613,10.612535612535613,2.32,2.699890499983896e-05,0
9,-231.0,0.0011652352941176468,0.0,50.0,2500.0,1,100,0.0,0.05420850000000001,0.05420850000000001,193.91212653778558,-176.85539714867616,10.612535612535613,10.612535612535613,2.31,2.7438493187332266e-05,0
10,-230.0,0.0012947058823529409,0.0,50.0,2500.0,1,100,0.0,0.05420850000000001,0.05420850000000001,193.15465729349737,-175.9775967413442,10.612535612535613,10.612535612535613,2.3,2.788854263561674e-05,0
11,-229.0,0.0014241764705882351,0.0,50.0,2500.0,1,100,0.0,0.05420850000000001,0.05420850000000001,192.39718804920915,-175.0997963340122,10.612535612535613,10.612535612535613,2.29,2.8349326673723888e-05,0
12,-228.0,0.0015536470588235292,0.0,50.0,2500.0,1,100,0.0,0.05420850000000001,0.05420850000000001,191.6397188049209,-174.22199592668025,10.612535612535613,10.612535612535613,2.28,2.8821125812469442e-05,0
13,-227.0,0.0016831176470588232,0.0,50.0,2500.0,1,100,0.0,0.05420850000000001,0.05420850000000001,190.8822495606327,-173.34419551934826,10.612535612535613,10.612535612535613,2.27,2.9304227986736477e-05,0
14,-226.0,0.0018125882352941175,0.0,50.0,2500.0,1,100,0.0,0.05420850000000001,0.05420850000000001,190.12478031634447,-172.4663951120163,10.612535612535613,10.612535612535613,2.26,2.979892880843018e-05,0
15,-225.0,0.0019420588235294115,0.0,50.0,2500.0,1,100,0.0,0.05420850000000001,0.05420850000000001,189.36731107205622,-171.5885947046843,10.612535612535613,10.612535612535613,2.25,3.0305531828887263e-05,0
16,-224.0,0.0020715294117647056,0.0,50.0,2500.0,1,100,0.0,0.05420850000000001,0.05420850000000001,188.609841827768,-170.71079429735235,10.612535612535613,10.612535612535613,2.24,3.082434881518192e-05,0
17,-223.0,0.002201,0.0,50.0,2500.0,1,100,0.0,0.05420850000000001,0.05420850000000001,187.8523725834798,-169.83299389002036,10.612535612535613,10.612535612535613,2.23,3.13557000282484e-05,0
18,-222.0,0.0023304705882352937,0.0,50.0,2500.0,1,100,0.0,0.05420850000000001,0.05420850000000001,187.09490333919157,-168.9551934826884,10.612535612535613,10.612535612535613,2.22,3.189991452118634e-05,0
19,-221.0,0.002459941176470588,0.0,50.0,2500.0,1,100,0.0,0.05420850000000001,0.05420850000000001,186.33743409490333,-168.0773930753564,10.612535612535613,10.612535612535613,2.21,3.245733044395223e-05,0
20,-220.0,0.0025894117647058817,0.0,50.0,2500.0,1,100,0.0,0.05420850000000001,0.05420850000000001,185.5799648506151,-167.19959266802445,10.612535612535613,10.612535612535613,2.2,3.302829536114642e-05,0
21,-219.0,0.002718882352941176,0.0,50.0,2500.0,1,100,0.0,0.05420850000000001,0.05420850000000001,184.8224956063269,-166.32179226069246,10.612535612535613,10.612535612535613,2.19,3.361316658189006e-05,0
22,-218.0,0.0028483529411764703,0.0,50.0,2500.0,1,100,0.0,0.05420850000000001,0.05420850000000001,184.06502636203865,-165.4439918533605,10.612535612535613,10.612535612535613,2.18,3.42123115037607e-05,0
23,-217.0,0.002977823529411764,0.0,50.0,2500.0,1,100,0.0,0.05420850000000001,0.05420850000000001,183.30755711775043,-164.5661914460285,10.612535612535613,10.612535612535613,2.17,3.482610797070486e-05,0
24,-216.0,0.0031072941176470584,0.0,50.0,2500.0,1,100,0.0,0.05420850000000001,0.05420850000000001,182.55008787346222,-163.68839103869655,10.612535612535613,10.612535612535613,2.16,3.545494464303442e-05,0
