,r,señal,FFF,Limit,In,Z,Big Z,xpos,xneg,ypos,yneg,Rho,delta0 = 4.0 h0 = 50.0 h1 = -2000.0 h2 = 30000.0 h3 = -450000.0 h4 = 200000.0
0,-70.0,0.066602,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,35.02136752136752,-24.40883190883191,0.7,-50.966108592099495
1,-68.0,0.069431,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,34.17236467236467,-23.55982905982906,0.68,-51.06866114682028
2,-65.0,0.07436,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,32.8988603988604,-22.286324786324787,0.65,-51.239848843897654
3,-62.0,0.080116,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,31.625356125356124,-21.012820512820515,0.62,-51.4352887775113
4,-59.0,0.086831,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,30.35185185185185,-19.73931623931624,0.59,-51.65965157714165
5,-56.0,0.094503,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,29.07834757834758,-18.465811965811966,0.56,-51.91873153893701
6,-53.0,0.10526,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,27.804843304843306,-17.192307692307693,0.53,-52.219755649531486
7,-50.0,0.1177,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,26.53133903133903,-15.918803418803419,0.5,-52.57177350660584
8,-47.0,0.13327,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,25.257834757834758,-14.645299145299145,0.47,-52.98613066311001
9,-44.0,0.15169,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,23.984330484330485,-13.371794871794872,0.44,-53.476993518409245
10,-41.0,0.17052,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,22.710826210826212,-12.098290598290598,0.41,-54.0617957813754
11,-38.0,0.19084,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,21.437321937321936,-10.824786324786325,0.38,-54.761212591622076
12,-35.0,0.22533,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,20.163817663817664,-9.551282051282051,0.35,-55.597569072280095
13,-34.0,0.29247,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,19.73931623931624,-9.126780626780628,0.34,-55.91024568304825
14,-33.0,0.44916,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,19.314814814814813,-8.702279202279202,0.33,-56.24063490224918
15,-32.0,0.73831,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,18.89031339031339,-8.277777777777779,0.32,-56.58873179445595
16,-31.0,1.1016,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,18.465811965811966,-7.853276353276353,0.31,-56.953994553014226
17,-30.0,1.4552,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,18.04131054131054,-7.428774928774929,0.3,-57.33509409439582
18,-29.0,1.7628,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,17.616809116809115,-7.004273504273504,0.29,-57.72956433248037
19,-28.0,2.0626,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,17.192307692307693,-6.57977207977208,0.28,-58.13331600065059
20,-27.0,2.3386,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,16.767806267806268,-6.155270655270655,0.27,-58.53996476440961
21,-26.0,2.5855,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,16.343304843304843,-5.730769230769231,0.26,-58.93991027854702
22,-25.0,2.7917,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,15.918803418803419,-5.306267806267806,0.25,-59.31908886134023
23,-24.0,2.9538,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,15.494301994301994,-4.881766381766382,0.24,-59.657313993518045
24,-23.0,3.0265,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,15.06980056980057,-4.457264957264957,0.23,-59.926127744716915
25,-22.0,3.05,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,14.645299145299145,-4.032763532763533,0.22,-60.08613559893731
26,-21.0,3.0563,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,14.220797720797721,-3.6082621082621085,0.21,-60.08392741852655
27,-20.0,3.0577,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,13.796296296296296,-3.1837606837606836,0.2,-59.84895966408526
28,-19.0,3.0553,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,13.371794871794872,-2.759259259259259,0.19,-59.29125979084143
29,-18.0,3.0592,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,12.947293447293447,-2.3347578347578346,0.18,-58.301544541240645
30,-17.0,3.0553,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,12.522792022792023,-1.9102564102564104,0.17,-56.75618769975337
31,-16.0,3.0543,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,12.098290598290598,-1.4857549857549857,0.16,-54.52993462639619
32,-15.0,3.0567,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,11.673789173789174,-1.0612535612535612,0.15,-51.51835424262788
33,-12.0,3.0583,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,10.4002849002849,0.21225071225071226,0.12,-37.68149702868529
34,-9.0,3.0592,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,9.126780626780628,1.4857549857549857,0.09,-20.30051114395598
35,-6.0,3.0524,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,7.853276353276353,2.759259259259259,0.06,-6.839367300537092
36,-3.0,3.0558,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,6.57977207977208,4.032763532763533,0.03,-0.7800777313223914
37,0.0,3.0528,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,5.306267806267806,5.306267806267806,0.0,0.15949964096022715
38,3.0,3.0621,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,4.032763532763533,6.57977207977208,0.03,-0.7800777313223914
39,6.0,3.0519,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,2.759259259259259,4.82404181184669,0.06,-6.270793835759912
40,9.0,3.0537,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,1.4857549857549857,2.597560975609756,0.09,-14.338169462797634
41,12.0,3.0533,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,0.21225071225071226,0.3710801393728223,0.12,-5.553314561271415
42,15.0,3.0413,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-1.8554006968641115,-1.8554006968641115,0.15,62.875008681088985
43,16.0,3.0134,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-2.597560975609756,-2.597560975609756,0.16,98.78829288366423
44,17.0,2.9344,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-3.3397212543554007,-3.3397212543554007,0.17,139.4654468720279
45,18.0,2.7756,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-4.081881533101045,-4.081881533101045,0.18,184.52083180957945
46,19.0,2.569,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-4.82404181184669,-4.82404181184669,0.19,233.92213749460683
47,20.0,2.3431,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-5.566202090592334,-5.566202090592334,0.2,287.8449771264717
48,21.0,2.0835,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-6.308362369337979,-6.308362369337979,0.21,346.56663479564105
49,22.0,1.7608,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-7.050522648083624,-7.050522648083624,0.22,410.40548452774493
50,23.0,1.4406,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-7.7926829268292686,-7.7926829268292686,0.23,479.69098116426323
51,24.0,1.067,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-8.534843205574912,-8.534843205574912,0.24,554.7504495908989
52,25.0,0.65549,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-9.277003484320558,-9.277003484320558,0.25,635.9041788916063
53,26.0,0.35153,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-10.019163763066203,-10.019163763066203,0.26,723.4643082536815
54,27.0,0.24245,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-10.761324041811847,-10.761324041811847,0.27,817.7352865785044
55,28.0,0.21043,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-11.503484320557492,-11.503484320557492,0.28,919.0148743195738
56,29.0,0.20048,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-12.245644599303136,-12.245644599303136,0.29,1027.5952355741397
57,30.0,0.19139,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-12.987804878048781,-12.987804878048781,0.3,1143.7639407631782
58,31.0,0.18487,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-13.729965156794425,-13.729965156794425,0.31,1267.8048233234072
59,32.0,0.17782,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,-14.47212543554007,-14.47212543554007,0.32,1399.9986863519935
