,r,Area,In,Z,tplus,tminus,tminus_,analytic 0.2696000000000063,Rho,analytic 145.45454545454547 -6000.0 48181.818181818184 -218181.81818181818 709090.9090909091
0,0.14124917236813064,0.0,0.0,0.5,0.002851977029264919,0.0146017300235514,0.002422460732142794,0.4360791939863786,0.1568627450980392,37373.330073689904
1,0.13683513573162656,0.0,0.0,0.5,0.0037357338407186004,0.014174787644606834,0.002422460732142794,0.4068283516095224,0.15196078431372548,33726.96160569997
2,0.13242109909512248,0.0,0.0,0.5,0.004619490652172289,0.013747845265662265,0.002422460732142794,0.38125487290622867,0.14705882352941174,30543.465573185622
3,0.1280070624586184,0.0,0.0,0.5,0.00550324746362597,0.013320902886717695,0.002422460732142794,0.3587063032026317,0.14215686274509803,27740.581830270814
4,0.12359302582211432,0.0,0.0,0.5,0.006387004275079655,0.012893960507773129,0.002422460732142794,0.33867591778735645,0.13725490196078433,25254.423566404777
5,0.11917898918561023,0.0,0.0,0.5,0.007270761086533335,0.012467018128828555,0.002422460732142794,0.3207641865332646,0.1323529411764706,23034.61884476319
6,0.11476495254910615,0.0,0.0,0.5,0.008154517897987016,0.012040075749883992,0.002422460732142794,0.30465185221087066,0.12745098039215685,21040.916371119318
7,0.11035091591260207,0.0,0.0,0.5,0.009038274709440703,0.01161313337093942,0.002422460732142794,0.29008073433899934,0.12254901960784313,19240.76528263387
8,0.10593687927609799,0.0,0.0,0.5,0.009922031520894384,0.011186190991994851,0.002422460732142794,0.2768397901914796,0.1176470588235294,17607.55774811586
9,0.1015228426395939,0.0,0.0,0.5,0.010805788332348068,0.010759248613050283,0.002422460732142794,0.26475482657179283,0.11274509803921569,16119.331849632696
10,0.09710880600308981,0.0,0.0,0.5,0.011689545143801749,0.010332306234105712,0.002422460732142794,0.2536807934774272,0.10784313725490195,14757.799983488723
11,0.09269476936658573,0.0,0.0,0.5,0.012573301955255434,0.009905363855161145,0.002422460732142794,0.24349593407191056,0.10294117647058823,13507.61130067571
12,0.08828073273008165,0.0,0.0,0.5,0.013457058766709117,0.009478421476216576,0.002422460732142794,0.2340972894261601,0.09803921568627451,12355.784953865028
13,0.08386669609357757,0.0,0.0,0.5,0.0143408155781628,0.009051479097272008,0.002422460732142794,0.22539720559953452,0.09313725490196079,11291.26971733767
14,0.07945265945707349,0.0,0.0,0.5,0.01522457238961648,0.008624536718327438,0.002422460732142794,0.21732059165495032,0.08823529411764705,10304.598283143543
15,0.0750386228205694,0.0,0.0,0.5,0.016108329201070165,0.00819759433938287,0.002422460732142794,0.20980274677498606,0.08333333333333334,9387.613308348431
