,r,señal,FFF,Limit,In,Z,Big Z,xpos,xneg,ypos,yneg,Rho,delta0 = 4.0 h0 = 300.0 h1 = -2000.0 h2 = 80000.0 h3 = -450000.0 h4 = 200000.0
0,-70.0,0.066602,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,35.02136752136752,-24.40883190883191,0.7,-39.427110627934226
1,-68.0,0.069431,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,34.17236467236467,-23.55982905982906,0.68,-39.50643093989794
2,-65.0,0.07436,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,32.8988603988604,-22.286324786324787,0.65,-39.63883669021967
3,-62.0,0.080116,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,31.625356125356124,-21.012820512820515,0.62,-39.7899987413763
4,-59.0,0.086831,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,30.35185185185185,-19.73931623931624,0.59,-39.96352884354192
5,-56.0,0.094503,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,29.07834757834758,-18.465811965811966,0.56,-40.163907503595254
6,-53.0,0.10526,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,27.804843304843306,-17.192307692307693,0.53,-40.39672282159849
7,-50.0,0.1177,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,26.53133903133903,-15.918803418803419,0.5,-40.66897178945927
8,-47.0,0.13327,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,25.257834757834758,-14.645299145299145,0.47,-40.98942593047695
9,-44.0,0.15169,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,23.984330484330485,-13.371794871794872,0.44,-41.3690364868051
10,-41.0,0.17052,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,22.710826210826212,-12.098290598290598,0.41,-41.82127836682794
11,-38.0,0.19084,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,21.437321937321936,-10.824786324786325,0.38,-42.36212767828176
12,-35.0,0.22533,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,20.163817663817664,-9.551282051282051,0.35,-43.00882628843635
13,-34.0,0.29247,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,19.73931623931624,-9.126780626780628,0.34,-43.250583860162784
14,-33.0,0.44916,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,19.314814814814813,-8.702279202279202,0.33,-43.50602682349273
15,-32.0,0.73831,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,18.89031339031339,-8.277777777777779,0.32,-43.775148500017295
16,-31.0,1.1016,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,18.465811965811966,-7.853276353276353,0.31,-44.05752631953643
17,-30.0,1.4552,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,18.04131054131054,-7.428774928774929,0.3,-44.352127981126266
18,-29.0,1.7628,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,17.616809116809115,-7.004273504273504,0.29,-44.657040752800505
19,-28.0,2.0626,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,17.192307692307693,-6.57977207977208,0.28,-44.96909518017934
20,-27.0,2.3386,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,16.767806267806268,-6.155270655270655,0.27,-45.28334509571856
21,-26.0,2.5855,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,16.343304843304843,-5.730769230769231,0.26,-45.592354924206646
22,-25.0,2.7917,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,15.918803418803419,-5.306267806267806,0.25,-45.885234470876895
23,-24.0,2.9538,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,15.494301994301994,-4.881766381766382,0.24,-46.146354843092716
24,-23.0,3.0265,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,15.06980056980057,-4.457264957264957,0.23,-46.35368606072437
25,-22.0,3.05,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,14.645299145299145,-4.032763532763533,0.22,-46.47673514006767
26,-21.0,3.0563,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,14.220797720797721,-3.6082621082621085,0.21,-46.4741642695274
27,-20.0,3.0577,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,13.796296296296296,-3.1837606837606836,0.2,-46.291379485474714
28,-19.0,3.0553,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,13.371794871794872,-2.759259259259259,0.19,-45.85875615995302
29,-18.0,3.0592,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,12.947293447293447,-2.3347578347578346,0.18,-45.09173300690952
30,-17.0,3.0553,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,12.522792022792023,-1.9102564102564104,0.17,-43.89465902956354
31,-16.0,3.0543,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,12.098290598290598,-1.4857549857549857,0.16,-42.17063468411695
32,-15.0,3.0567,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,11.673789173789174,-1.0612535612535612,0.15,-39.83888641766144
33,-12.0,3.0583,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,10.4002849002849,0.21225071225071226,0.12,-29.128015807899235
34,-9.0,3.0592,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,9.126780626780628,1.4857549857549857,0.09,-15.67584552752889
35,-6.0,3.0524,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,7.853276353276353,2.759259259259259,0.06,-5.257931532383964
36,-3.0,3.0558,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,6.57977207977208,4.032763532763533,0.03,-0.568092019932317
37,0.0,3.0528,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,5.306267806267806,5.306267806267806,0.0,0.15949964096022715
38,3.0,3.0621,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,4.032763532763533,6.57977207977208,0.03,-0.568092019932317
39,6.0,3.0519,0,25,0,100,0.05420850000000001,9.468365553602812,9.468365553602812,2.759259259259259,4.82404181184669,0.06,-4.820826721724947
