,r,señal,FFF,Area,In,Z
161,63.0,0.031827,0,100,0,100
162,60.0,0.038564999999999995,0,100,0,100
163,59.0,0.049589,0,100,0,100
164,58.0,0.08064299999999999,0,100,0,100
165,57.0,0.15174,0,100,0,100
166,56.0,0.26118,0,100,0,100
167,55.0,0.37772,0,100,0,100
168,54.0,0.50015,0,100,0,100
169,53.0,0.6258699999999999,0,100,0,100
170,52.0,0.7529,0,100,0,100
171,51.0,0.87061,0,100,0,100
172,50.0,0.98244,0,100,0,100
173,49.0,1.0598,0,100,0,100
174,48.0,1.0898,0,100,0,100
175,47.0,1.0987,0,100,0,100
176,46.0,1.1006,0,100,0,100
177,45.0,1.1008,0,100,0,100
178,44.0,1.1009,0,100,0,100
179,43.0,1.1028,0,100,0,100
180,42.0,1.1001,0,100,0,100
181,41.0,1.1025,0,100,0,100
182,40.0,1.1029,0,100,0,100
183,37.0,1.1016,0,100,0,100
184,34.0,1.1013,0,100,0,100
185,31.0,1.1036,0,100,0,100
186,28.0,1.1046,0,100,0,100
187,25.0,1.1043,0,100,0,100
188,22.0,1.104,0,100,0,100
189,19.0,1.1048,0,100,0,100
190,16.0,1.1017,0,100,0,100
191,13.0,1.0998,0,100,0,100
192,10.0,1.0995,0,100,0,100
193,7.0,1.0972,0,100,0,100
194,4.0,1.0968,0,100,0,100
195,1.0,1.0988,0,100,0,100
196,0.0,1.0965,0,100,0,100
197,1.0,1.0968,0,100,0,100
198,4.0,1.0984,0,100,0,100
199,7.0,1.0998,0,100,0,100
200,10.0,1.1036,0,100,0,100
201,13.0,1.1032,0,100,0,100
202,16.0,1.1063,0,100,0,100
203,19.0,1.1059,0,100,0,100
204,22.0,1.1051,0,100,0,100
205,25.0,1.1059,0,100,0,100
206,28.0,1.1025,0,100,0,100
207,31.0,1.1021,0,100,0,100
208,34.0,1.1033,0,100,0,100
209,37.0,1.1025,0,100,0,100
210,40.0,1.0976,0,100,0,100
211,41.0,1.0864,0,100,0,100
212,42.0,1.0542,0,100,0,100
213,43.0,0.98055,0,100,0,100
214,44.0,0.8627,0,100,0,100
215,45.0,0.74667,0,100,0,100
216,46.0,0.6261,0,100,0,100
217,47.0,0.49873,0,100,0,100
218,48.0,0.37119,0,100,0,100
219,49.0,0.25356999999999996,0,100,0,100
220,50.0,0.13837,0,100,0,100
221,51.0,0.06729,0,100,0,100
222,52.0,0.042542,0,100,0,100
223,53.0,0.035976,0,100,0,100
224,54.0,0.033745,0,100,0,100
225,55.0,0.032323000000000005,0,100,0,100
226,56.0,0.031063,0,100,0,100
227,57.0,0.029993000000000002,0,100,0,100
228,58.0,0.028743,0,100,0,100
229,59.0,0.027683999999999997,0,100,0,100
230,60.0,0.026637,0,100,0,100
231,63.0,0.02356,0,100,0,100
232,66.0,0.020801,0,100,0,100
233,69.0,0.018466999999999997,0,100,0,100
234,72.0,0.016467,0,100,0,100
235,75.0,0.014734,0,100,0,100
236,78.0,0.013313,0,100,0,100
237,81.0,0.012195999999999999,0,100,0,100
238,84.0,0.011153,0,100,0,100
239,87.0,0.010251,0,100,0,100
240,90.0,0.0095773,0,100,0,100
241,93.0,0.009053499999999999,0,100,0,100
242,95.0,0.0087542,0,100,0,100
243,95.0,0.0043630000000000006,1,100,0,100
244,93.0,0.0044949,1,100,0,100
245,90.0,0.0046813,1,100,0,100
246,87.0,0.0048667,1,100,0,100
247,84.0,0.00519,1,100,0,100
248,81.0,0.0055284999999999996,1,100,0,100
249,78.0,0.0060227,1,100,0,100
250,75.0,0.006628,1,100,0,100
251,72.0,0.007546300000000001,1,100,0,100
252,69.0,0.0086151,1,100,0,100
253,66.0,0.009747,1,100,0,100
254,63.0,0.011106,1,100,0,100
255,60.0,0.014853,1,100,0,100
256,59.0,0.022289,1,100,0,100
257,58.0,0.044063,1,100,0,100
258,57.0,0.09664400000000001,1,100,0,100
259,56.0,0.18483,1,100,0,100
260,55.0,0.28118000000000004,1,100,0,100
261,54.0,0.3822,1,100,0,100
262,53.0,0.48748,1,100,0,100
263,52.0,0.59438,1,100,0,100
264,51.0,0.69113,1,100,0,100
265,50.0,0.7871100000000001,1,100,0,100
266,49.0,0.8531700000000001,1,100,0,100
267,48.0,0.88234,1,100,0,100
268,47.0,0.8935299999999999,1,100,0,100
269,46.0,0.89807,1,100,0,100
270,45.0,0.90209,1,100,0,100
271,44.0,0.90427,1,100,0,100
272,43.0,0.90791,1,100,0,100
273,42.0,0.91204,1,100,0,100
274,41.0,0.91381,1,100,0,100
275,40.0,0.91659,1,100,0,100
276,37.0,0.92579,1,100,0,100
277,34.0,0.9351299999999999,1,100,0,100
278,31.0,0.9418799999999999,1,100,0,100
279,28.0,0.94995,1,100,0,100
280,25.0,0.95594,1,100,0,100
281,22.0,0.96221,1,100,0,100
282,19.0,0.96598,1,100,0,100
283,16.0,0.9703,1,100,0,100
284,13.0,0.97311,1,100,0,100
285,10.0,0.9756600000000001,1,100,0,100
286,7.0,0.9781799999999999,1,100,0,100
287,4.0,0.97614,1,100,0,100
288,1.0,0.9749700000000001,1,100,0,100
289,0.0,0.9747399999999999,1,100,0,100
290,1.0,0.97498,1,100,0,100
291,4.0,0.9737899999999999,1,100,0,100
292,7.0,0.9682799999999999,1,100,0,100
293,10.0,0.9665299999999999,1,100,0,100
294,13.0,0.962,1,100,0,100
295,16.0,0.95529,1,100,0,100
296,19.0,0.95042,1,100,0,100
297,22.0,0.943,1,100,0,100
298,25.0,0.93522,1,100,0,100
299,28.0,0.92661,1,100,0,100
300,31.0,0.91806,1,100,0,100
301,34.0,0.9096,1,100,0,100
302,37.0,0.90091,1,100,0,100
303,40.0,0.8868799999999999,1,100,0,100
304,41.0,0.8763,1,100,0,100
305,42.0,0.85098,1,100,0,100
306,43.0,0.79203,1,100,0,100
307,44.0,0.6954100000000001,1,100,0,100
308,45.0,0.5976899999999999,1,100,0,100
309,46.0,0.49593999999999994,1,100,0,100
310,47.0,0.38886,1,100,0,100
311,48.0,0.28392,1,100,0,100
312,49.0,0.18893,1,100,0,100
313,50.0,0.09550499999999999,1,100,0,100
314,51.0,0.038333,1,100,0,100
315,52.0,0.018836000000000002,1,100,0,100
316,53.0,0.013753,1,100,0,100
317,54.0,0.012089,1,100,0,100
318,55.0,0.011348,1,100,0,100
319,56.0,0.010753,1,100,0,100
320,57.0,0.010243,1,100,0,100
321,58.0,0.009800299999999998,1,100,0,100
322,59.0,0.0093475,1,100,0,100
323,60.0,0.0089414,1,100,0,100
324,63.0,0.007781399999999999,1,100,0,100
325,66.0,0.006851899999999999,1,100,0,100
326,69.0,0.0060761,1,100,0,100
327,72.0,0.005558100000000001,1,100,0,100
328,75.0,0.0051472,1,100,0,100
329,78.0,0.0048679,1,100,0,100
